Day	Gigabases
2010-12-08	54.733625
2010-12-09	617.9889664
2010-12-10	185.4582996
2010-12-11	299.1372462
2010-12-12	73.5588898
2010-12-13	1105.388635
2010-12-14	481.801938175
2010-12-15	279.8070386
2010-12-16	183.4408399
2010-12-17	181.389896
2010-12-18	270.5924886
2010-12-19	260.456723
2010-12-20	562.3449528
2010-12-21	525.8925538
2010-12-22	434.2617522
2010-12-23	573.547981
2010-12-24	124.2511956
2010-12-26	229.0041408
2010-12-27	132.8839064
2010-12-28	246.1003585
2010-12-29	746.3866688
2010-12-30	429.3770014
2010-12-31	449.6760062
2011-01-01	621.3273058
2011-01-02	239.6196368
2011-01-03	656.7111958
2011-01-04	169.5751262
2011-01-05	68.1287506
2011-01-06	722.381443
2011-01-07	1259.84151506
2011-01-08	763.3805647
2011-01-09	255.658935
2011-01-10	64.8246896
2011-01-11	191.070497036
2011-01-12	577.4176429
2011-01-13	745.802959012
2011-01-14	708.024064628
2011-01-15	591.497585148
2011-01-16	994.107205
2011-01-17	133.3913698
2011-01-18	406.144642172
2011-01-19	190.186850474
2011-01-20	168.660459346
2011-01-21	528.55327858
2011-01-24	933.00863
2011-01-25	1064.218505326
2011-01-26	250.1177666
2011-01-27	411.12741946
2011-01-28	580.09766183
2011-01-29	1157.932039049
2011-01-30	557.908819266
2011-01-31	730.3661404
2011-02-01	531.8794946
2011-02-02	302.371661766
2011-02-03	974.029901
2011-02-04	346.5599983
2011-02-05	323.1036768
2011-02-06	632.2797552
2011-02-07	922.1157614
2011-02-08	615.0943238
2011-02-09	657.5448538
2011-02-10	1037.4957078
2011-02-11	207.179544
2011-02-12	651.9804722
2011-02-13	144.7754954
2011-02-14	708.7210518
2011-02-15	586.7084164
2011-02-16	818.4298277
2011-02-17	1086.139923982
2011-02-18	700.121248
2011-02-19	493.1052986
2011-02-20	148.1883354
2011-02-21	460.881434
2011-02-22	530.3132595
2011-02-23	296.5025128
2011-02-24	384.6745105
2011-02-25	1193.6601757
2011-02-26	286.4230322
2011-02-27	580.5967506
2011-02-28	663.0545774
2011-03-01	838.7912974
2011-03-02	422.6994994
2011-03-03	475.586070036
2011-03-04	356.7723553
2011-03-05	664.1291584
2011-03-06	317.2639538
2011-03-07	718.0362452
2011-03-08	420.1431244
2011-03-09	255.510134416
2011-03-10	508.402578693
2011-03-11	679.6592718
2011-03-12	351.2581464
2011-03-13	436.3805374
2011-03-14	345.955055
2011-03-15	482.3708902
2011-03-16	531.7061955
2011-03-17	679.6075342
2011-03-18	641.4335672
2011-03-19	576.604055
2011-03-20	145.869132
2011-03-21	954.564916
2011-03-22	853.9561408
2011-03-23	552.9188886
2011-03-24	398.110681483
2011-03-25	811.4493297
2011-03-26	1410.4802886
2011-03-27	284.8768772
2011-03-28	395.419432488
2011-03-29	551.742218759
2011-03-30	936.856082401
2011-03-31	619.2471965
2011-04-01	211.6689914
2011-04-02	300.563573
2011-04-03	277.7491128
2011-04-04	740.1697546
2011-04-05	1340.8660806
2011-04-06	212.2342672
2011-04-07	675.2639673
2011-04-08	748.3276622
2011-04-09	812.7917576
2011-04-10	203.8782156
2011-04-11	376.2130934
2011-04-12	484.9518718
2011-04-13	429.9709356
2011-04-14	674.2102878
2011-04-15	469.025954
2011-04-16	374.3331522
2011-04-17	561.0659416
2011-04-18	444.504181475
2011-04-19	1031.3086784
2011-04-20	297.8227594
2011-04-21	1232.7811527
2011-04-22	957.4768577
2011-04-23	1493.6805523
2011-04-24	105.2049194
2011-04-25	335.3878012
2011-04-26	287.3348266
2011-04-27	614.7303082
2011-04-28	590.3433536
2011-04-29	643.999179
2011-04-30	1413.5631334
2011-05-01	624.335312
2011-05-02	752.6957919
2011-05-03	175.3430435
2011-05-04	503.876836
2011-05-05	730.4398252
2011-05-06	713.938761
2011-05-07	563.5840082
2011-05-08	713.1339602
2011-05-09	742.3756758
2011-05-10	250.521243
2011-05-11	904.1816249
2011-05-12	508.9323792
2011-05-13	854.5305254
2011-05-14	1273.172029
2011-05-15	393.50399
2011-05-16	599.7325974
2011-05-17	458.9293122
2011-05-18	578.2815555
2011-05-19	965.2258432
2011-05-20	904.561719072
2011-05-21	957.299485238
2011-05-22	1073.188591424
2011-05-23	466.6894196
2011-05-24	670.872040112
2011-05-25	1679.372781656
2011-05-26	428.4554386
2011-05-27	261.076458248
2011-05-28	1309.9762308
2011-05-29	1642.9459604
2011-05-30	284.3591032
2011-05-31	893.456565
2011-06-01	1336.100918
2011-06-02	1388.6422906
2011-06-03	451.5742094
2011-06-04	471.5732722
2011-06-05	778.0403408
2011-06-06	1539.1950952
2011-06-07	1057.6701967
2011-06-08	982.7266142
2011-06-09	347.5178254
2011-06-10	631.617468
2011-06-11	1473.1811038
2011-06-12	325.0355214
2011-06-13	415.0474002
2011-06-14	1648.2450644
2011-06-15	1054.7558648
2011-06-16	1160.1725704
2011-06-17	579.817061
